product_id;img_link;product_link
B00J5DYCCA;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51pNg1Zy4+L._SX300_SY300_.jpg;https://www.amazon.in/Havells-Ventilair-230mm-Exhaust-Grey/dp/B00J5DYCCA/ref=sr_1_505?qid=1672923617&s=kitchen&sr=1-505
B00JBNZPFM;https://m.media-amazon.com/images/I/41CAIlYtE+L._SY300_SX300_.jpg;https://www.amazon.in/Karcher-WD-Multi-Purpose-Vacuum-Cleaner/dp/B00JBNZPFM/ref=sr_1_471?qid=1672923615&s=kitchen&sr=1-471
B00K32PEW4;https://m.media-amazon.com/images/I/51yFKniMhcL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Casio-MJ-120D-Electronic-Calculator/dp/B00K32PEW4/ref=sr_1_411?qid=1672903016&s=computers&sr=1-411
B00K57MR22;https://m.media-amazon.com/images/I/41cZE9HcRUL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Sujata-DynaMix-DX-900-Watt-Grinder/dp/B00K57MR22/ref=sr_1_411?qid=1672923612&s=kitchen&sr=1-411
B00KIDSU8S;https://m.media-amazon.com/images/I/41+zSXivpML._SY300_SX300_.jpg;https://www.amazon.in/Havells-FHVVEDXOWH08-Ventil-200mm-White/dp/B00KIDSU8S/ref=sr_1_465?qid=1672923615&s=kitchen&sr=1-465
B00KIE28X0;https://m.media-amazon.com/images/I/51UTH-oHa9L._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Camel-Camlin-Kokuyo-Acrylic-Color/dp/B00KIE28X0/ref=sr_1_334?qid=1672903011&s=computers&sr=1-334
B00KRCBA6E;https://m.media-amazon.com/images/I/41Y4vsQHt6L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Maharaja-Whiteline-Lava-1200-Watt-Helogen/dp/B00KRCBA6E/ref=sr_1_101?qid=1672923595&s=kitchen&sr=1-101
B00KXULGJQ;https://m.media-amazon.com/images/I/312J9hg8ypL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Tp-Link-300Mbps-AC750-Range-Extender/dp/B00KXULGJQ/ref=sr_1_57?qid=1672902997&s=computers&sr=1-57
B00LHZW3XY;https://m.media-amazon.com/images/I/41hF4CFTsGL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZW3XY/ref=sr_1_213_mod_primary_new?qid=1672903005&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-213
B00LHZWD0C;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51mCZQzY6SL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZWD0C/ref=sr_1_193?qid=1672903005&s=computers&sr=1-193
